name;url;type
201906 - Giugno;https://github.com/rladies/meetup-presentations_bari/tree/master/201906%20-%20Giugno;dir
201907 - Luglio;https://github.com/rladies/meetup-presentations_bari/tree/master/201907%20-%20Luglio;dir
202001 - Gennaio;https://github.com/rladies/meetup-presentations_bari/tree/master/202001%20-%20Gennaio;dir
202002 - Febbraio;https://github.com/rladies/meetup-presentations_bari/tree/master/202002%20-%20Febbraio;dir
Cattura.PNG;https://github.com/rladies/meetup-presentations_bari/blob/master/Cattura.PNG;file
Ci è dispiaciuto non vederti.txt;https://github.com/rladies/meetup-presentations_bari/blob/master/Ci%20%C3%A8%20dispiaciuto%20non%20vederti.txt;file
Evento 8 Marzo - Poliba;https://github.com/rladies/meetup-presentations_bari/tree/master/Evento%208%20Marzo%20-%20Poliba;dir
Invitation Letter R-Ladies Bari.docx;https://github.com/rladies/meetup-presentations_bari/blob/master/Invitation%20Letter%20R-Ladies%20Bari.docx;file
Invitation Letter R-Ladies Bari.pdf;https://github.com/rladies/meetup-presentations_bari/blob/master/Invitation%20Letter%20R-Ladies%20Bari.pdf;file
LookingForHost&Speakers.pdf;https://github.com/rladies/meetup-presentations_bari/blob/master/LookingForHost&Speakers.pdf;file
LookingForSpeakers.pdf;https://github.com/rladies/meetup-presentations_bari/blob/master/LookingForSpeakers.pdf;file
LookingForSpeakers.pptx;https://github.com/rladies/meetup-presentations_bari/blob/master/LookingForSpeakers.pptx;file
R-Ladies Bari, vi augura buone feste.jpg;https://github.com/rladies/meetup-presentations_bari/blob/master/R-Ladies%20Bari,%20vi%20augura%20buone%20feste.jpg;file
README.md;https://github.com/rladies/meetup-presentations_bari/blob/master/README.md;file
auguri-di-buon-natale-e-modelli-di-felice-anno-nuovo-2020-con-bellissimi-disegni-di-carta-tagliati-a-neve-e-inverno_38689-537.jpg;https://github.com/rladies/meetup-presentations_bari/blob/master/auguri-di-buon-natale-e-modelli-di-felice-anno-nuovo-2020-con-bellissimi-disegni-di-carta-tagliati-a-neve-e-inverno_38689-537.jpg;file
call for sp.PNG;https://github.com/rladies/meetup-presentations_bari/blob/master/call%20for%20sp.PNG;file
pngtree-happy-new-year-2020-merry-christmas-image_315057.jpg;https://github.com/rladies/meetup-presentations_bari/blob/master/pngtree-happy-new-year-2020-merry-christmas-image_315057.jpg;file
09062018_PrimeiroMeetup;https://github.com/rladies/meetup-presentations_belohorizonte/tree/master/09062018_PrimeiroMeetup;dir
10112018_SegundoMeetup;https://github.com/rladies/meetup-presentations_belohorizonte/tree/master/10112018_SegundoMeetup;dir
18052019_1ANO;https://github.com/rladies/meetup-presentations_belohorizonte/tree/master/18052019_1ANO;dir
Curso Básico - Introdução ao R;https://github.com/rladies/meetup-presentations_belohorizonte/tree/master/Curso%20B%C3%A1sico%20-%20Introdu%C3%A7%C3%A3o%20ao%20R;dir
README.md;https://github.com/rladies/meetup-presentations_belohorizonte/blob/master/README.md;file
.DS_Store;https://github.com/rladies/meetup-presentations_bergen/blob/master/.DS_Store;file
.gitignore;https://github.com/rladies/meetup-presentations_bergen/blob/master/.gitignore;file
2019-11-25_Kick-off_tutorial;https://github.com/rladies/meetup-presentations_bergen/tree/master/2019-11-25_Kick-off_tutorial;dir
2020-02-06_2ndMeeting;https://github.com/rladies/meetup-presentations_bergen/tree/master/2020-02-06_2ndMeeting;dir
R-Ladies-horiz-bergen.png;https://github.com/rladies/meetup-presentations_bergen/blob/master/R-Ladies-horiz-bergen.png;file
R-Ladies-horiz-bergen_cropped.png;https://github.com/rladies/meetup-presentations_bergen/blob/master/R-Ladies-horiz-bergen_cropped.png;file
R-Ladies-horiz-bergen_cropped_transp.png;https://github.com/rladies/meetup-presentations_bergen/blob/master/R-Ladies-horiz-bergen_cropped_transp.png;file
R-Ladies_bergen_poster.Rmd;https://github.com/rladies/meetup-presentations_bergen/blob/master/R-Ladies_bergen_poster.Rmd;file
R-Ladies_bergen_poster.pdf;https://github.com/rladies/meetup-presentations_bergen/blob/master/R-Ladies_bergen_poster.pdf;file
README.md;https://github.com/rladies/meetup-presentations_bergen/blob/master/README.md;file
cbu_logo_blue_transparent.png;https://github.com/rladies/meetup-presentations_bergen/blob/master/cbu_logo_blue_transparent.png;file
cbu_logo_lightBlue_transparent.png;https://github.com/rladies/meetup-presentations_bergen/blob/master/cbu_logo_lightBlue_transparent.png;file
kick-off-presentation.Rmd;https://github.com/rladies/meetup-presentations_bergen/blob/master/kick-off-presentation.Rmd;file
kick-off-presentation.html;https://github.com/rladies/meetup-presentations_bergen/blob/master/kick-off-presentation.html;file
.gitignore;https://github.com/rladies/meetup-presentations_berlin/blob/master/.gitignore;file
2016-12_KickOff_RLB;https://github.com/rladies/meetup-presentations_berlin/tree/master/2016-12_KickOff_RLB;dir
2017-01_Hands_on_datavis_ggplot2;https://github.com/rladies/meetup-presentations_berlin/tree/master/2017-01_Hands_on_datavis_ggplot2;dir
2017-05_DRYprogramming_dplyr;https://github.com/rladies/meetup-presentations_berlin/tree/master/2017-05_DRYprogramming_dplyr;dir
2017-06_R_meets_Journocode_Rmarkdown;https://github.com/rladies/meetup-presentations_berlin/tree/master/2017-06_R_meets_Journocode_Rmarkdown;dir
2017-08_OKlabBerlin;https://github.com/rladies/meetup-presentations_berlin/tree/master/2017-08_OKlabBerlin;dir
2017-09_EpidemicsConsortium;https://github.com/rladies/meetup-presentations_berlin/tree/master/2017-09_EpidemicsConsortium;dir
2017-11_ShinyDashboards;https://github.com/rladies/meetup-presentations_berlin/tree/master/2017-11_ShinyDashboards;dir
2018-02_Rprojects-and-Github;https://github.com/rladies/meetup-presentations_berlin/tree/master/2018-02_Rprojects-and-Github;dir
2018-03_Bootstrapping-with-R;https://github.com/rladies/meetup-presentations_berlin/tree/master/2018-03_Bootstrapping-with-R;dir
2018-04_Beauty_Rprogramming;https://github.com/rladies/meetup-presentations_berlin/tree/master/2018-04_Beauty_Rprogramming;dir
2018-05_Crawling_Twitter;https://github.com/rladies/meetup-presentations_berlin/tree/master/2018-05_Crawling_Twitter;dir
2018-07_Dive-dplyr;https://github.com/rladies/meetup-presentations_berlin/tree/master/2018-07_Dive-dplyr;dir
2018-10_survival;https://github.com/rladies/meetup-presentations_berlin/tree/master/2018-10_survival;dir
2018-11_Hands_on_training_Rpackages;https://github.com/rladies/meetup-presentations_berlin/tree/master/2018-11_Hands_on_training_Rpackages;dir
2019-02_Hands-on_Web_Scraping_with_Riva;https://github.com/rladies/meetup-presentations_berlin/tree/master/2019-02_Hands-on_Web_Scraping_with_Riva;dir
2019-03_Hands-on_Textmining_with_Alison;https://github.com/rladies/meetup-presentations_berlin/tree/master/2019-03_Hands-on_Textmining_with_Alison;dir
2019-05_Hands-on_blogdown_How_to_create_your_first_blog;https://github.com/rladies/meetup-presentations_berlin/tree/master/2019-05_Hands-on_blogdown_How_to_create_your_first_blog;dir
2019-06_Unleashing_the_power_of_biodiversity_data_with_Ciera;https://github.com/rladies/meetup-presentations_berlin/tree/master/2019-06_Unleashing_the_power_of_biodiversity_data_with_Ciera;dir
2019-08_Hands-on_Docker_Containers;https://github.com/rladies/meetup-presentations_berlin/tree/master/2019-08_Hands-on_Docker_Containers;dir
Installing_R_and_RStudio.pdf;https://github.com/rladies/meetup-presentations_berlin/blob/master/Installing_R_and_RStudio.pdf;file
README.md;https://github.com/rladies/meetup-presentations_berlin/blob/master/README.md;file
RethinkR;https://github.com/rladies/meetup-presentations_berlin/tree/master/RethinkR;dir
Boston_20170817_tidyeval_ppt.pdf;https://github.com/rladies/meetup-presentations_boston/blob/master/Boston_20170817_tidyeval_ppt.pdf;file
README.md;https://github.com/rladies/meetup-presentations_boston/blob/master/README.md;file
git_and_github_20181023.pdf;https://github.com/rladies/meetup-presentations_boston/blob/master/git_and_github_20181023.pdf;file
tidyr_ggplot2_short.pdf;https://github.com/rladies/meetup-presentations_boston/blob/master/tidyr_ggplot2_short.pdf;file
