repo;url
meetup-presentations_stlouis;https://github.com/rladies/meetup-presentations_stlouis
meetup-presentations_stockholm;https://github.com/rladies/meetup-presentations_stockholm
meetup-presentations_strasbourg;https://github.com/rladies/meetup-presentations_strasbourg
meetup-presentations_taipei;https://github.com/rladies/meetup-presentations_taipei
meetup-presentations_tampa;https://github.com/rladies/meetup-presentations_tampa
meetup-presentations_tbilisi;https://github.com/rladies/meetup-presentations_tbilisi
meetup-presentations_toronto;https://github.com/rladies/meetup-presentations_toronto
meetup-presentations_twincities;https://github.com/rladies/meetup-presentations_twincities
meetup-presentations_ushuaia;https://github.com/rladies/meetup-presentations_ushuaia
meetup-presentations_utrecht;https://github.com/rladies/meetup-presentations_utrecht
meetup-presentations_vancouver;https://github.com/rladies/meetup-presentations_vancouver
meetup-presentations_vitoria;https://github.com/rladies/meetup-presentations_vitoria
meetup-presentations_warsaw;https://github.com/rladies/meetup-presentations_warsaw
meetup-presentation_louisville;https://github.com/rladies/meetup-presentation_louisville
rladies_global_presentations;https://github.com/rladies/rladies_global_presentations
